"Year","Quarter","Expenditure"
1950,1,709
1950,2,691
1950,3,713
1950,4,670
1951,1,654
1951,2,736
1951,3,711
1951,4,687
1952,1,708
1952,2,717
1952,3,731
1952,4,682
1953,1,673
1953,2,722
1953,3,714
1953,4,682
1954,1,694
1954,2,750
1954,3,715
1954,4,683
1955,1,712
1955,2,753
1955,3,751
1955,4,712
1956,1,686
1956,2,741
1956,3,770
1956,4,716
1957,1,692
1957,2,757
1957,3,783
1957,4,719
1958,1,680
1958,2,770
1958,3,759
1958,4,735
1959,1,731
1959,2,777
1959,3,774
1959,4,737
1960,1,710
1960,2,759
1960,3,770
1960,4,705
1961,1,727
1961,2,773
1961,3,761
1961,4,729
1962,1,723
1962,2,781
1962,3,765
1962,4,730
1963,1,712
1963,2,823
1963,3,797
1963,4,741
1964,1,739
1964,2,803
1964,3,780
1964,4,735
1965,1,741
1965,2,807
1965,3,805
1965,4,781
1966,1,747
1966,2,831
1966,3,831
1966,4,743
1967,1,744
1967,2,805
1967,3,831
1967,4,758
1968,1,748
1968,2,785
1968,3,768
1968,4,761
1969,1,761
1969,2,794
1969,3,826
1969,4,751
1970,1,746
1970,2,795
1970,3,821
1970,4,779
1971,1,725
1971,2,818
1971,3,813
1971,4,754
1972,1,733
1972,2,816
1972,3,838
1972,4,765
1973,1,747
1973,2,826
1973,3,844
1973,4,773
1974,1,757
1974,2,777
1974,3,794
1974,4,778
1975,1,771
1975,2,834
1975,3,847
1975,4,829
1976,1,798
1976,2,859
1976,3,866
1976,4,785
1977,1,777
1977,2,822
1977,3,836
1977,4,821
1978,1,792
1978,2,836
1978,3,851
1978,4,797
1979,1,838
1979,2,837
1979,3,859
1979,4,802
1980,1,796
1980,2,881
1980,3,833
1980,4,798
1981,1,829
1981,2,889
1981,3,855
1981,4,817
1982,1,814
1982,2,849
1982,3,847
1982,4,825
1983,1,806
1983,2,844
1983,3,868
1983,4,835
1984,1,833
1984,2,881
1984,3,893
1984,4,850
1985,1,839
1985,2,885
1985,3,884
1985,4,808
1986,1,859
1986,2,913
1986,3,865
1986,4,836
1987,1,819
1987,2,888
1987,3,895
1987,4,858
1988,1,832
1988,2,881
1988,3,888
1988,4,858
1989,1,818
1989,2,899
1989,3,910
1989,4,856
1990,1,842
1990,2,896
1990,3,907
1990,4,860
1991,1,852
1991,2,913
1991,3,943
1991,4,865
1992,1,883
1992,2,905
1992,3,920
1992,4,912
1993,1,878
1993,2,927
1993,3,924
1993,4,891
1994,1,875
1994,2,928
1994,3,931
1994,4,906
1995,1,872
1995,2,916
1995,3,952
1995,4,883
1996,1,874
1996,2,941
1996,3,949
1996,4,945
1997,1,934
1997,2,1008
1997,3,965
1997,4,920
1998,1,888
1998,2,973
1998,3,1001
1998,4,920
1999,1,888
1999,2,964
1999,3,974
1999,4,919
2000,1,900
2000,2,973
2000,3,965
2000,4,923
2001,1,897
2001,2,974
2001,3,947
2001,4,938
2002,1,920
2002,2,942
2002,3,995
2002,4,929
2003,1,943
2003,2,1022
2003,3,969
2003,4,939
2004,1,922
2004,2,968
2004,3,983
2004,4,938
2005,1,912
2005,2,971
2005,3,975
2005,4,942
2006,1,950
2006,2,1048
2006,3,1006
2006,4,999
2007,1,974
2007,2,1011
2007,3,1020
2007,4,972
2008,1,959
2008,2,1005
2008,3,1048
2008,4,996
2009,1,973
2009,2,1017
2009,3,1010
2009,4,976
2010,1,991
2010,2,1013
2010,3,1029
2010,4,974
2011,1,979
2011,2,1015
2011,3,1021
2011,4,1003
2012,1,999
2012,2,1021
2012,3,1012
2012,4,973
2013,1,967
2013,2,1024
2013,3,1063
2013,4,1000
2014,1,983
2014,2,1034
2014,3,1046
2014,4,1001
2015,1,1020
2015,2,1078
2015,3,1083
2015,4,1032
2016,1,1043
2016,2,1092
2016,3,1090
2016,4,1070
2017,1,1000
2017,2,1091
2017,3,1086
2017,4,1017
2018,1,1013
2018,2,1063
2018,3,1084
2018,4,1014
2019,1,997
2019,2,1097
2019,3,1102
2019,4,1018
2020,1,1017
2020,2,1069
2020,3,1110
2020,4,1083
